"test_num","test_name","metric_name","status","metric_val","commit_message","commit_SHA","commit_date","benchmark_date","benchmark_most_recent_SHA"
1,"fread.first works with bad path","runtime (in seconds)","Pass",0.001673,"Update main.yml","5434856e85618471ae22ceb1bb0a4ea5a7f9a234",2020-05-07 21:38:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"fread.last works with bad path","runtime (in seconds)","Pass",0.010294,"Update main.yml","5434856e85618471ae22ceb1bb0a4ea5a7f9a234",2020-05-07 21:38:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0379799,"Update main.yml","5434856e85618471ae22ceb1bb0a4ea5a7f9a234",2020-05-07 21:38:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"fread.first works with bad path","runtime (in seconds)","Pass",0.0017063,"Update main.yml","5434856e85618471ae22ceb1bb0a4ea5a7f9a234",2020-05-07 21:38:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"fread.last works with bad path","runtime (in seconds)","Pass",0.0097659,"Update main.yml","5434856e85618471ae22ceb1bb0a4ea5a7f9a234",2020-05-07 21:38:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0145783,"Update main.yml","5434856e85618471ae22ceb1bb0a4ea5a7f9a234",2020-05-07 21:38:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"fread.first works with bad path","runtime (in seconds)","Pass",0.0017224,"Update main.yml","5434856e85618471ae22ceb1bb0a4ea5a7f9a234",2020-05-07 21:38:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"fread.last works with bad path","runtime (in seconds)","Pass",0.0099506,"Update main.yml","5434856e85618471ae22ceb1bb0a4ea5a7f9a234",2020-05-07 21:38:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0126545,"Update main.yml","5434856e85618471ae22ceb1bb0a4ea5a7f9a234",2020-05-07 21:38:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"fread.first works with bad path","runtime (in seconds)","Pass",0.0017339,"Create main.yml","9845ccfcdbabbf4d782eaaac0698ce4b33e4a2ad",2020-05-07 21:37:28,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"fread.last works with bad path","runtime (in seconds)","Pass",0.0110741,"Create main.yml","9845ccfcdbabbf4d782eaaac0698ce4b33e4a2ad",2020-05-07 21:37:28,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0126095,"Create main.yml","9845ccfcdbabbf4d782eaaac0698ce4b33e4a2ad",2020-05-07 21:37:28,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"fread.first works with bad path","runtime (in seconds)","Pass",0.0016599,"Create main.yml","9845ccfcdbabbf4d782eaaac0698ce4b33e4a2ad",2020-05-07 21:37:28,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"fread.last works with bad path","runtime (in seconds)","Pass",0.0101089,"Create main.yml","9845ccfcdbabbf4d782eaaac0698ce4b33e4a2ad",2020-05-07 21:37:28,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0126562,"Create main.yml","9845ccfcdbabbf4d782eaaac0698ce4b33e4a2ad",2020-05-07 21:37:28,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"fread.first works with bad path","runtime (in seconds)","Pass",0.0019233,"Create main.yml","9845ccfcdbabbf4d782eaaac0698ce4b33e4a2ad",2020-05-07 21:37:28,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"fread.last works with bad path","runtime (in seconds)","Pass",0.0100712,"Create main.yml","9845ccfcdbabbf4d782eaaac0698ce4b33e4a2ad",2020-05-07 21:37:28,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0139581,"Create main.yml","9845ccfcdbabbf4d782eaaac0698ce4b33e4a2ad",2020-05-07 21:37:28,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"fread.first works with bad path","runtime (in seconds)","Pass",0.0016507,"Merge pull requ","183ba4496a9ba7386ace413b5958f435c9a9ae78",2020-01-15 20:17:19,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"fread.last works with bad path","runtime (in seconds)","Pass",0.0102317,"Merge pull requ","183ba4496a9ba7386ace413b5958f435c9a9ae78",2020-01-15 20:17:19,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0114142,"Merge pull requ","183ba4496a9ba7386ace413b5958f435c9a9ae78",2020-01-15 20:17:19,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"fread.first works with bad path","runtime (in seconds)","Pass",0.0017399,"Merge pull requ","183ba4496a9ba7386ace413b5958f435c9a9ae78",2020-01-15 20:17:19,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"fread.last works with bad path","runtime (in seconds)","Pass",0.0102806,"Merge pull requ","183ba4496a9ba7386ace413b5958f435c9a9ae78",2020-01-15 20:17:19,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0141187,"Merge pull requ","183ba4496a9ba7386ace413b5958f435c9a9ae78",2020-01-15 20:17:19,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"fread.first works with bad path","runtime (in seconds)","Pass",0.0016682,"Merge pull requ","183ba4496a9ba7386ace413b5958f435c9a9ae78",2020-01-15 20:17:19,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"fread.last works with bad path","runtime (in seconds)","Pass",0.0123273,"Merge pull requ","183ba4496a9ba7386ace413b5958f435c9a9ae78",2020-01-15 20:17:19,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0124076,"Merge pull requ","183ba4496a9ba7386ace413b5958f435c9a9ae78",2020-01-15 20:17:19,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"fread.first works with bad path","runtime (in seconds)","Pass",0.0016393,"TRAVIS bad path","51ca78c5366fb5c07e8dfcc7b85dafb2d18a920d",2019-12-09 22:36:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"fread.last works with bad path","runtime (in seconds)","Pass",0.0096729,"TRAVIS bad path","51ca78c5366fb5c07e8dfcc7b85dafb2d18a920d",2019-12-09 22:36:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0139884,"TRAVIS bad path","51ca78c5366fb5c07e8dfcc7b85dafb2d18a920d",2019-12-09 22:36:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"fread.first works with bad path","runtime (in seconds)","Pass",0.0015913,"TRAVIS bad path","51ca78c5366fb5c07e8dfcc7b85dafb2d18a920d",2019-12-09 22:36:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"fread.last works with bad path","runtime (in seconds)","Pass",0.0100346,"TRAVIS bad path","51ca78c5366fb5c07e8dfcc7b85dafb2d18a920d",2019-12-09 22:36:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
2,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0159911,"TRAVIS bad path","51ca78c5366fb5c07e8dfcc7b85dafb2d18a920d",2019-12-09 22:36:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"fread.first works with bad path","runtime (in seconds)","Pass",0.00168,"TRAVIS bad path","51ca78c5366fb5c07e8dfcc7b85dafb2d18a920d",2019-12-09 22:36:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"fread.last works with bad path","runtime (in seconds)","Pass",0.009782,"TRAVIS bad path","51ca78c5366fb5c07e8dfcc7b85dafb2d18a920d",2019-12-09 22:36:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
3,"test-CRAN-bad-paths.R","runtime (in seconds)","Pass",0.0118658,"TRAVIS bad path","51ca78c5366fb5c07e8dfcc7b85dafb2d18a920d",2019-12-09 22:36:23,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"fread.first works with bad path","runtime (in seconds)","Pass",0.0017311,"docs link break","13ecc3c46463515a4cfd33119bc797b7e462ade8",2019-12-09 16:58:50,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
1,"fread.last works with bad path","runtime (in seconds)","Pass",0.0104406,"docs link break","13ecc3c46463515a4cfd33119bc797b7e462ade8",2019-12-09 16:58:50,2020-05-07 21:47:35,"5434856e85618471ae22ceb1bb0a4ea5a7f9a234"
